Dataset name,Data system name,Organization/Agency,Organization Collecting or Managing,Website,Contact Name,Contact email,Contact phone,Description,Purpose,Source Dataset,Type of Data,Data collection method,Years collected,Data Storage format,Data Storage Location,Database Size,Is the dataset available to the public?,Data user / Audience,Data output format,Use Restriction Details,Type of Use Restriction,Special Request Possible,Special Request Cost,Special Request Contact Info,Metadata,Data Documentation,Metadata Format,Acquisition cost,Operations and Management Cost,FTE,Funding -%Federal,Funding: %State,Funding: %Private,Funding: %Foundation,VHCIP Priority,Is Data Related to Payment Reform,Comments,Last Updated By,VT HIT Inv: Integrated systems,VT HIT Inv: Integrated data feeds,VT HIT Inv: Divisions served,VT HIT Inv: Where is data stored
In-Network Provider Directory,In-Network Provider Directory,Blue Cross Blue Shield of Vermont / ,,http://www.bcbsvt.com/login,,,,"Information is self-reported every 3 years (with the exception noted below), or more often according to State and Federal requirements. Blue Cross and Blue Shield of Vermont requires that the provider sign a document assuring us that the information is correct. We independently verify the provider name, provider  specialty, board certification, hospital accreditation and NCQA certification.<br /><br />Important Note: Blue Cross and Blue Shield of Vermont makes every effort to keep the directory complete and accurate.This data may change between our three year validation cycles. However, we rely on our providers to notify us when any of this information changes. We update the online provider  directory on a nightly basis. If you have question about the information listed here, please contact the provider  directly.<br /><br />The information found on this website should be one of several resources. Please remember  to confirm that any hospital or health care provider you select, or service you are having, is covered under your health plan.<br /><br />Not all physicians have price and/or quality reports. For example, we only report quality measures for high volume primary care physicians and obstetricians/gynecologists. If you click a price or quality icon and receive the message “No Documents Found”, information is unavailable for that physician.",,,Provider Information,,,,,,No access to data,Public,,,None,No,,Need to be member to get to this site.,Low,Full current documentation,,,,,,,,,Low,No,,David Healy,First Choice,,First Choice,
Dropout & High School Completion,,Department of Education / ,,http://education.vermont.gov/documents/EDU-Data_2012_2013_Dropout_and_high_school_completion.pdf,,,,"Prior to the 2001-2002 school year, the Vermont Agency of Education published event dropout and high school completion rates in two separate reports. Beginning with the 2001-2002 school year the department now presents event dropout and completion data in a single report along with an estimated cohort completion rate. This change reflects the department's commitment to streamlining data management.",,,"Youth
Population",,2001-2013,,,,Aggregate data only,,"Report (PDF, Word)",,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Barbara Patterson,First Choice,,First Choice,
Enrollment Report,Enrollment Report,Department of Education / ,,http://edw.vermont.gov/REPORTSERVER/Pages/ReportViewer.aspx?%2fPublic%2fEnrollment+Report,,,,,,,"Youth
Population",,,,,,"Yes, record level data available",Public,"MS Excel
Web Application - Public",,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,First Choice,,First Choice,
Free and Reduced Eligibility Reports,Free and Reduced Eligibility Reports,Department of Education / ,,http://education.vermont.gov/documents/EDU-Child_Nutrition_2015_Free_Reduced_Eligibility_Report.pdf,,,,The agency publishes an annual report showing the number and percent of students eligible for free and reduced price school meals for every school that participates in the National School Lunch Program.,,,"Youth
Population",,,,,,Aggregate data only,,"Report (PDF, Word)",,None,No,,,Low,No documentation,,,,,,,,,Low,Yes,,Barbara Patterson,First Choice,,First Choice,
Annual Statement Supplement Report (ASSR),Annual Statement Supplement Report (ASSR),Green Mountain Care Board (GMCB) / ,,,Mike Davis,mike.davis@vermont.gov,,"Payers enrollment, earned premiums<br />used to be a DFR dataset",,,"Coverage
Financial",,,,,,No access to data,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,Barbara Patterson,First Choice,,First Choice,
VHCURES Analytical Extracts - Truven,VHCURES Analytical Extracts - Truven,Green Mountain Care Board (GMCB) / ,,,David Regan,david.regan@vermont.gov,,Truven's extract from VHCURES,,VHCURES,Claim,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Barbara Patterson,First Choice,,First Choice,
Data Use Agreements to VHCURES,Data Use Agreements to VHCURES,Green Mountain Care Board (GMCB) / ,,,David Regan,david.regan@vermont.gov,,Who is using the data and for what. This is not currently available. There is a sharepoint site for users. No way currently to post the work that's being done. There is no clearinghouse to make this information available.,,,Reference,,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,Yes,,stacey young,First Choice,,First Choice,
Vermont Advance Directives Registry (VADR),Vermont Advance Directives Registry (VADR),Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/vadr/,Ashley Goodrich,,,The Vermont Advance Directive Registry is an electronic database that stores advance directive documents and makes them accessible to hospitals or other medical service providers.,,,Unknown,Registry,,,,,No access to data,,,,,No,,,Unknown,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Vermont Health Connect,Vermont Health Connect,Department of Vermont Health Access (AHS DVHA) / ,,,Robert Skowronski,robert.skowronski@vermont.gov,,VHC supports (scroll to see all):<br />- ananymous browse (QHP Medicaid Elig pre-screen)<br />- QHP and MAGI Medicaid Eligibility<br />- QHP enrollment with Carriers<br />- Medacaid Enrollment wioth ACCESS<br />- Call Center Customer Service (Maximus)<br />- Premium Billing for QHP & Medicaid with Benaissance<br />- Federal Hub Eligibility checks.  Enrollment into QHP or MAGI Medicaid,,,Coverage,,,,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,Barbara Patterson,ACCESS,"QHP, Federal Data Services Hub, Benaissance","DVHA-VHC, DCF-ESD",
Verisk Health,Verisk Health,Department of Vermont Health Access (AHS DVHA) / ,,,Walter Ochs,walter.ochs@vermont.gov,,The application runs/compiles HEDIS (Healthcare Effectiveness Data and Information Set) measures yearly for compliance as a Medicaid managed care entity..  Run quality indicators on the Medicaid population for compliance within DVHA/AHS.,,,"Population
Clinical",,,,,,No access to data,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,,CSME,,DVHA-MPFS,
Ticket to Work Reimbursement Tracker,Ticket to Work Reimbursement Tracker,"Department of Disabilities, Aging and Independent Living (DAIL) / ",,,James Smith,james.smith@vermont.gov,,The Ticket to Work Reimbursement Tracker is used to track and bill the Social Security Administration for individuals who receive Social Security Disability Benefits who return to work. The system generates about $1.5 million in revenue to VR annually..  The Ticket to Work Tracker generates significant revenue for the VR program.,,,Financial,,,,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,,"ACCESS, Benefits Counseling, Informix RSA 911 DBVI, Informix RSA 911 VR",DOL Earnings,DAIL-DVR,
SNAP QCS,SNAP QCS,Department for Children and Families (DCF) / ,,,"Carpenter, Sally",sally.carpenter@vermont.gov,,"Web based application used for reporting state findings of quality control review cases to the FNS. Used to generate reports for the state on errors, causes of errors, timeliness of errors and processing errors..  Report QC to FNS. Create reports for the State",,,Utilization,,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DCF-ESD,
SA/MH Data Collection [Access],SA/MH Data Collection [Access],Department for Children and Families (DCF) / ,,,"White, Karolyn",karolyn.white@vermont.gov,,"Imports excel spreadsheets that captures information regarding clients who are case managed and receiving SA/MH treatment services (mandated by the legislature)..  Information on the clients served such as the number of days in treatment, how many days it takes to get the person seen, has the treatment worked by linking in other data, number assessed, etc.",,,"Services Provided
Occupancy/Days
Clinical",,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,Reach Up Excel Set [Excel],,DCF-ESD,
RPM [DMH],RPM [DMH],Department of Mental Health / ,,,"Hammerl, Michelle",michelle.hammerl@vermont.gov,,check writing capabilities for the Patient Benefits account for the Vermont Psychiatric Care Hospital (VPCH).  Maintains and reconciles the Patient Benefits account for VPCH,,,Financial,,,,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,,,,"DMH-Fin, DMH-VPCH",
Representative Payee Management,Representative Payee Management,"Department of Disabilities, Aging and Independent Living (DAIL) / ",,,"Dupuis, Chris",chris.dupuis@vermont.gov,,"RPM allows for receipt, expenditure, reporting of all transactions for representative payee services (approx. 350 clients).  a simple, accurate software to control income/expenditures and to provide reports for the funds we control",,,"Income
Financial",,,,,,No access to data,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,,,,DAIL-DDSD,
Results Scorecard,Results Scorecard,Agency of Human Services / ,,,"Roessle, Dru",dru.roessle@vermont.gov,,"Demonstrate/present data on a trend line (population level data and performance level data), demonstrate/present information related to data, organize information according to Results Based Accountability, share data and information across Departments' Scorecards and to a primary Agency Scorecard, share data and information with the public and other stakeholders.  Accountability for performance of initiatives, programs, divisions, departments, and the Agency as a whole; transparency and accessibility of population data about Vermont and performance data about AHS; continuous improvement (measuring, monitoring, improving); data-driven decision-making; collaboration with community partners",,,"Employment and Wages
Population
Financial",,,,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,,,,"DCF-CO, AHS-Sec",
PIEmatrix,PIEmatrix,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,,,"Terricciano, Richard",richard.terricciano@state.vt.us,,Assists in business process organization and re-use..  MAPIR software updates or any source data change require a defined set of checks and processes to verify functionality. This tool is used to capture those defined checks and processes for use in each update cycle.,,,Financial,,,,,,No access to data,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,Tim Tremblay,,,DVHA-CO,
NATADS,NATADS,"Department of Disabilities, Aging and Independent Living (DAIL) / ",,,"Fulcher, Amber",amber.fulcher@state.vt.us,,"Collects data about our core Federal AT Act functions - I&A's, Technical Assistance, Training.  Data tracking, production of reports, processing data for Federal AT Act Program",,,Services Provided,,,,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,,,,DAIL-DVR,
Manual Notice Tool,Manual Notice Tool,Department for Children and Families (DCF) / ,,,"Pare, Janet",jaent.pare@state.vt.us,,Provides functionality to produce notices for VHC while awaiting automated notices. Will aslo need ability for ad hoc notices even after majority of notices are automated to enable staff to send accurate notices when automated notices is incorrect or situation is unique..  produce required notices for which no automation exists,,,Services Provided,,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DCF-ESD,
Individual Plan for Employment,Individual Plan for Employment,"Department of Disabilities, Aging and Independent Living (DAIL) / ",,, Mike Goldberg,mike.goldberg@state.vt.us,,This is an automated program that offers checklists to complete the RSA mandated requirements  of an IPE..  Outlines the services which will be provided to a consumer based on their vocational goal.,,,Workforce,,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DAIL-DBVI,
McKesson InterQual,McKesson InterQual,Department of Vermont Health Access (AHS DVHA) / ,,, Daljit Clark,daljit.clark@state.vt.us,,"Clinical criteria used to make medical necessity determinations for requested sevices..  To make objective, evidenced-based and consistent clinical decisions which will hold up to the scrutiny of providers and our review/appeals processes. It is common practice among insurers to utilize nationally recognized clinical criteria when making medical determination for services requested for beneficiaries.",,,"Reference
Clinical",,,,,,No access to data,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,,,,"DVHA-HSMC, DMH-CAFU, DMH-CO, DMH-AMH, DMH-Care",
